index,Xwidth,Xcumsum,Yval,Xcumsumleft,Macro grouping,Stage subgrouped
1,31.07195468,31.07195468,323832.1526,0,Liver transplant,Liver Transplant - Tx
2,62.40295806,93.47491274,304854.2868,31.07195468,Liver transplant,Liver Transplant - Tx
3,14.70933,108.1842427,270541.8935,93.47491274,Liver transplant,Liver Transplant - Tx
4,79.23086199,187.4151047,259368.5575,108.1842427,Liver transplant,Decomp
5,124.0652358,311.4803405,258986.9401,187.4151047,Liver transplant,Decomp
6,30.70645829,342.1867988,253726.0853,311.4803405,Liver transplant,Liver Transplant - Tx
7,69.71999786,411.9067966,245314.028,342.1867988,Liver transplant,Liver Transplant - Tx
8,64.03553987,475.9423365,234991.7319,411.9067966,Liver transplant,Decomp
9,147.118983,623.0613195,234990.4894,475.9423365,Liver transplant,Liver Transplant - Tx
10,2.69221E-05,623.0613464,231649.7088,623.0613195,Liver transplant,Liver Transplant - Tx
11,9.26748E-06,623.0613557,231602.4704,623.0613464,Liver transplant,Liver Transplant - Tx
12,85.77907195,708.8404276,230455.4117,623.0613557,Liver transplant,Decomp
13,5.422746581,714.2631742,223384.239,708.8404276,Liver transplant,Liver Transplant - Tx
14,11.8440736,726.1072478,217696.1048,714.2631742,Liver transplant,Decomp
15,26.59669787,752.7039457,213863.9649,726.1072478,Liver transplant,Decomp
16,0.002673433,752.7066191,212030.7683,752.7039457,Liver transplant,Liver Transplant - Tx
17,1.017998856,753.724618,209013.1172,752.7066191,Liver transplant,Decomp
18,12.09121624,765.8158342,208985.0983,753.724618,Liver transplant,Decomp
19,11.02931911,776.8451533,208662.7868,765.8158342,Liver transplant,Liver Transplant - Tx
20,32.7145298,809.5596831,208056.9594,776.8451533,Liver transplant,Decomp
21,0.527407639,810.0870908,207794.9743,809.5596831,Liver transplant,Decomp
22,0.0099072,810.096998,207248.0643,810.0870908,Liver transplant,Liver Transplant - Tx
23,3.175320194,813.2723182,206515.3691,810.096998,Liver transplant,Decomp
24,2.225283755,815.4976019,204724.8374,813.2723182,Liver transplant,Decomp
25,1.73472E-05,815.4976193,203291.7875,815.4976019,Liver transplant,Liver Transplant - Tx
26,65.81665711,881.3142764,203108.0237,815.4976193,Liver transplant,Liver Transplant
27,7.743908613,889.058185,202978.1265,881.3142764,Liver transplant,Liver Transplant
28,3.308044072,892.3662291,202976.3764,889.058185,Liver transplant,Liver Transplant
29,1.65353371,894.0197628,202976.097,892.3662291,Liver transplant,Liver Transplant
30,0.633210584,894.6529734,202975.2153,894.0197628,Liver transplant,Liver Transplant
31,0.661037538,895.3140109,202974.8966,894.6529734,Liver transplant,Liver Transplant
32,0.188234988,895.5022459,202974.512,895.3140109,Liver transplant,Liver Transplant
33,0.261900797,895.7641467,202974.4061,895.5022459,Liver transplant,Liver Transplant
34,0.039061005,895.8032077,202974.3206,895.7641467,Liver transplant,Liver Transplant
35,0.00976566,895.8129733,202974.1236,895.8032077,Liver transplant,Liver Transplant
36,0.055231345,895.8682047,202973.9993,895.8129733,Liver transplant,Liver Transplant
37,0.002981547,895.8711862,202973.9099,895.8682047,Liver transplant,Liver Transplant
38,0.010694871,895.8818811,202973.8735,895.8711862,Liver transplant,Liver Transplant
39,0.000702007,895.8825831,202973.823,895.8818811,Liver transplant,Liver Transplant
40,8.77044E-05,895.8826708,202973.7306,895.8825831,Liver transplant,Liver Transplant
41,0.002516868,895.8851877,202973.7085,895.8826708,Liver transplant,Liver Transplant
42,0.000869717,895.8860574,202973.5205,895.8851877,Liver transplant,Liver Transplant
43,2.37512E-05,895.8860812,202973.4671,895.8860574,Liver transplant,Liver Transplant
44,0.000185442,895.8862666,202973.4166,895.8860812,Liver transplant,Liver Transplant
45,3.55689E-05,895.8863022,202973.33,895.8862666,Liver transplant,Liver Transplant
46,1.13043E-05,895.8863135,202973.2381,895.8863022,Liver transplant,Liver Transplant
47,8.2752E-05,895.8863962,202863.7582,895.8863135,Liver transplant,Liver Transplant
48,0.000211207,895.8866074,202858.5351,895.8863962,Liver transplant,Liver Transplant
49,2.01789E-05,895.8866276,202680.7998,895.8866074,Liver transplant,Liver Transplant - Tx
50,5.96889E-05,895.8866873,202650.6058,895.8866276,Liver transplant,Liver Transplant - Tx
51,0.000222359,895.8869097,202602.9665,895.8866873,Liver transplant,Liver Transplant - Tx
52,101.9141855,997.8010952,202241.0386,895.8869097,Liver transplant,Liver Transplant
53,4.7795E-05,997.801143,202162.7917,997.8010952,Liver transplant,Liver Transplant - Tx
54,5.30563E-05,997.801196,201436.8869,997.801143,Liver transplant,Liver Transplant - Tx
55,0.000173523,997.8013695,201429.5838,997.801196,Liver transplant,Liver Transplant - Tx
56,0.000706155,997.8020757,201389.9047,997.8013695,Liver transplant,Liver Transplant - Tx
57,1.1609E-05,997.8020873,199707.8635,997.8020757,Liver transplant,Liver Transplant
58,3.37506E-05,997.802121,199657.0597,997.8020873,Liver transplant,Liver Transplant
59,0.01280448,997.8149255,198180.6828,997.802121,Liver transplant,Liver Transplant - Tx
60,0.025848236,997.8407738,197425.0784,997.8149255,Liver transplant,Liver Transplant - Tx
61,0.058021471,997.8987952,196187.9282,997.8407738,Liver transplant,Liver Transplant - Tx
62,15.7302523,1013.629048,195449.5115,997.8987952,Liver transplant,Liver Transplant
63,31.40628326,1045.035331,195431.129,1013.629048,Liver transplant,Liver Transplant
64,13.1055415,1058.140872,195126.0034,1045.035331,Liver transplant,Decomp
